Name,Date,Time

1901059,29:06:21,13:30:44
1901059,29:06:21,13:30:45
1901059,29:06:21,13:30:46
1901059,29:06:21,13:30:47
1901059,29:06:21,13:30:47
1901059,29:06:21,13:30:48
1901059,29:06:21,13:30:49
1901059,29:06:21,13:30:49
1901059,29:06:21,13:30:50
1901059,29:06:21,13:30:52
1901059,29:06:21,13:30:53
1901059,29:06:21,13:30:53
1901059,29:06:21,13:30:54
1901059,29:06:21,13:30:54
1901059,29:06:21,13:30:55
1901059,29:06:21,13:30:55
1901059,29:06:21,13:30:56
1901059,29:06:21,13:30:56
1901059,29:06:21,13:30:56
1901059,29:06:21,13:30:57
1901059,29:06:21,13:30:57
1901059,29:06:21,13:30:58
1901059,29:06:21,13:30:58
1901059,29:06:21,13:30:59
1901059,29:06:21,13:30:59
1901059,29:06:21,13:30:59
1901059,29:06:21,13:31:00
1901059,29:06:21,13:31:00
1901059,29:06:21,13:31:01
1901059,29:06:21,13:31:01
1901059,29:06:21,13:31:02
1901059,29:06:21,13:31:02
1901059,29:06:21,13:31:03
1901059,29:06:21,13:31:03
1901059,29:06:21,13:31:03
1901059,29:06:21,13:31:04
1901059,29:06:21,13:31:04
1901059,29:06:21,13:31:05
1901059,29:06:21,13:31:05
1901059,29:06:21,13:31:06
1901059,29:06:21,13:31:06
1901059,29:06:21,13:31:06
1901059,29:06:21,13:31:07
1901059,29:06:21,13:31:07
1901059,29:06:21,13:31:08
1901059,29:06:21,13:31:08
1901059,29:06:21,13:31:09
1901059,29:06:21,13:31:09
1901059,29:06:21,13:31:10
1901059,29:06:21,13:31:10
1901059,29:06:21,13:31:10
1901059,29:06:21,13:31:11
1901059,29:06:21,13:31:11
1901059,29:06:21,13:31:12
1901059,29:06:21,13:31:12
1901059,29:06:21,13:31:13
1901059,29:06:21,13:31:13
1901059,29:06:21,13:31:13
1901059,29:06:21,13:31:14
1901059,29:06:21,13:31:14
1901059,29:06:21,13:31:15
1901059,29:06:21,13:31:15
1901059,29:06:21,13:31:16
1901059,29:06:21,13:31:16
1901059,29:06:21,13:31:17
1901059,29:06:21,13:31:17
1901059,29:06:21,13:31:17
1901059,29:06:21,13:31:18
1901059,29:06:21,13:31:18
1901059,29:06:21,13:31:19
1901059,29:06:21,13:31:19
1901059,29:06:21,13:31:20
1901059,29:06:21,13:31:20
1901059,29:06:21,13:31:20
1901059,29:06:21,13:31:21
1901059,29:06:21,13:31:21
1901059,29:06:21,13:31:22
1901059,29:06:21,13:31:22
1901059,29:06:21,13:31:23
1901059,29:06:21,13:31:23
1901059,29:06:21,13:31:23
1901059,29:06:21,13:31:24
1901059,29:06:21,13:31:24
1901059,29:06:21,13:31:25
1901059,29:06:21,13:31:25
1901059,29:06:21,13:31:26
1901059,29:06:21,13:31:26
1901059,29:06:21,13:31:26
1901059,29:06:21,13:31:27
1901059,29:06:21,13:31:27
1901059,29:06:21,13:31:28
1901059,29:06:21,13:31:28
1901059,29:06:21,13:31:29
1901059,29:06:21,13:31:29
1901059,29:06:21,13:31:30
1901059,29:06:21,13:31:30
1901059,29:06:21,17:08:39
1901059,29:06:21,17:08:42
1901059,29:06:21,17:08:43
1901059,29:06:21,17:08:44
1901059,29:06:21,17:08:45
1901059,29:06:21,17:08:45
1901059,29:06:21,17:08:46
1901059,29:06:21,17:08:46
1901059,29:06:21,17:08:46
1901059,29:06:21,17:08:47
1901059,29:06:21,17:08:47
1901059,29:06:21,17:08:48
1901059,29:06:21,17:09:11
1901059,29:06:21,17:09:11
1901059,29:06:21,17:09:12
1901059,29:06:21,17:09:12
1901059,29:06:21,17:09:12
1901059,29:06:21,17:09:13
1901059,29:06:21,17:09:13
1901059,29:06:21,17:09:14
1901059,29:06:21,17:09:14
1901059,29:06:21,17:09:15
1901059,29:06:21,17:09:15
1901059,29:06:21,17:09:17
1901059,29:06:21,17:09:17
1901059,29:06:21,17:09:18
1901059,29:06:21,17:09:19
1901059,29:06:21,17:09:20
1901059,29:06:21,17:09:20
1901059,29:06:21,17:09:20
1901059,29:06:21,17:09:21
1901059,29:06:21,17:09:22
1901059,29:06:21,17:09:22
1901059,29:06:21,17:09:23
1901059,29:06:21,17:09:23
1901059,29:06:21,17:09:24
1901059,29:06:21,17:09:24
1901059,29:06:21,17:09:25
1901059,29:06:21,17:09:25
1901059,29:06:21,17:09:25
1901059,29:06:21,17:09:27
1901059,29:06:21,17:09:27
1901059,29:06:21,17:09:28
1901059,29:06:21,17:09:28
1901059,29:06:21,17:09:29
1901059,29:06:21,17:09:29
1901059,29:06:21,17:09:29
1901059,29:06:21,17:09:30
1901059,29:06:21,17:09:30
1901059,29:06:21,17:09:31
1901059,29:06:21,17:09:31
1901059,29:06:21,17:09:32
1901059,29:06:21,17:09:32
1901059,29:06:21,17:09:33
1901059,29:06:21,17:09:33
1901059,29:06:21,17:09:34
1901059,29:06:21,17:09:34
1901059,29:06:21,17:09:35
1901059,29:06:21,17:09:35
1901059,29:06:21,17:09:36
1901059,29:06:21,17:09:36
1901059,29:06:21,17:09:37
1901059,29:06:21,17:09:37
1901059,29:06:21,17:09:38
1901059,29:06:21,17:09:38
1901059,29:06:21,17:09:39
1901059,29:06:21,19:28:24
1901059,29:06:21,19:28:24
1901059,29:06:21,19:28:25
1901059,29:06:21,19:28:26
1901059,29:06:21,19:28:27
1901059,29:06:21,19:28:27
1901059,29:06:21,19:28:28
1901059,29:06:21,19:28:28
1901059,29:06:21,19:28:29
1901059,29:06:21,19:28:29
1901059,29:06:21,19:29:00
1901059,29:06:21,19:49:18
